,id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,history_of_default,cred_hist_length,loan_status
2767,2767,30,48000,RENT,0.0,VENTURE,E,15000,17.04,0.31,N,5,1
2768,2768,23,87550,RENT,1.0,VENTURE,D,7000,15.37,0.08,N,2,1
2769,2769,23,45000,RENT,5.0,VENTURE,C,1375,13.49,0.03,Y,4,0
2770,2770,29,65000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,12000,6.03,0.18,N,10,0
2771,2771,24,40000,RENT,3.0,PERSONAL,A,5000,5.79,0.13,N,4,0
2772,2772,27,120000,MORTGAGE,5.0,PERSONAL,A,6000,7.14,0.05,N,10,0
2773,2773,32,72096,RENT,3.0,HOMEIMPROVEMENT,A,4200,7.29,0.06,N,8,0
2774,2774,21,35000,RENT,0.0,DEBTCONSOLIDATION,B,1000,10.25,0.03,N,4,0
2775,2775,23,65004,RENT,7.0,VENTURE,B,5000,11.49,0.08,N,3,0
2776,2776,43,36000,RENT,0.0,EDUCATION,C,8000,13.49,0.22,Y,17,0
2777,2777,25,39000,RENT,3.0,DEBTCONSOLIDATION,C,10000,13.61,0.26,Y,2,1
2778,2778,28,20000,RENT,0.0,PERSONAL,E,5000,16.32,0.25,Y,7,1
2779,2779,30,35004,RENT,5.0,PERSONAL,D,6000,14.59,0.17,Y,5,0
2780,2780,24,40000,RENT,4.0,PERSONAL,C,6000,13.48,0.15,Y,4,0
2781,2781,36,48000,RENT,4.0,VENTURE,B,5000,10.99,0.1,N,14,0
2782,2782,27,24000,OWN,5.0,PERSONAL,A,7000,8.49,0.29,N,10,0
2783,2783,31,134748,MORTGAGE,14.0,VENTURE,B,18000,10.74,0.13,N,10,0
2784,2784,24,75000,OWN,4.0,EDUCATION,B,12000,12.18,0.16,N,4,0
2785,2785,37,78000,RENT,0.0,DEBTCONSOLIDATION,A,4800,6.62,0.06,N,12,0
2786,2786,23,150000,MORTGAGE,5.0,VENTURE,A,10000,8.49,0.07,N,2,0
2787,2787,27,34000,RENT,4.0,MEDICAL,B,3000,9.25,0.09,N,8,1
2788,2788,36,38400,MORTGAGE,14.0,VENTURE,A,4200,7.49,0.11,N,15,0
2789,2789,23,46800,RENT,7.0,DEBTCONSOLIDATION,A,6500,5.42,0.14,N,2,0
2790,2790,28,42000,RENT,1.0,DEBTCONSOLIDATION,B,9000,10.59,0.21,N,9,0
2791,2791,22,68400,OWN,0.0,EDUCATION,D,10000,15.95,0.15,N,3,0
2792,2792,24,62000,MORTGAGE,9.0,VENTURE,A,15150,6.99,0.24,N,2,0
2793,2793,25,42000,RENT,2.0,EDUCATION,C,4800,13.49,0.11,N,3,0
2794,2794,22,54000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,11000,12.42,0.2,N,4,0
2795,2795,27,30000,RENT,3.0,VENTURE,A,10000,8.49,0.33,N,10,0
2796,2796,30,62400,RENT,7.0,DEBTCONSOLIDATION,B,20000,10.59,0.32,N,10,0
2797,2797,31,88000,RENT,8.0,DEBTCONSOLIDATION,B,15000,9.88,0.17,N,5,0
2798,2798,24,250000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,28000,10.65,0.11,N,4,0
2799,2799,31,32000,RENT,3.0,EDUCATION,B,6000,11.49,0.19,N,8,0
2800,2800,30,54000,MORTGAGE,12.0,EDUCATION,B,15000,11.99,0.28,N,9,1
2801,2801,22,64000,MORTGAGE,5.0,VENTURE,C,15000,14.35,0.23,Y,2,0
2802,2802,22,62000,RENT,6.0,VENTURE,C,6000,13.23,0.1,Y,2,0
2803,2803,24,60000,MORTGAGE,8.0,PERSONAL,B,9000,10.65,0.15,N,3,0
2804,2804,24,70000,RENT,8.0,EDUCATION,B,11000,11.71,0.16,N,4,0
2805,2805,23,33000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,2500,13.49,0.07,Y,2,1
2806,2806,23,75000,MORTGAGE,5.0,EDUCATION,A,10000,7.29,0.13,N,2,0
2807,2807,22,55000,MORTGAGE,6.0,PERSONAL,C,6000,12.99,0.11,N,3,1
2808,2808,24,80040,RENT,3.0,EDUCATION,C,10000,13.99,0.12,Y,3,1
2809,2809,27,60000,OWN,1.0,HOMEIMPROVEMENT,D,5000,14.96,0.08,Y,9,0
2810,2810,34,100000,RENT,0.0,MEDICAL,A,20000,7.88,0.2,N,5,0
2811,2811,35,62000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,9.25,0.13,N,7,0
2812,2812,24,60000,RENT,2.0,VENTURE,C,10000,14.22,0.17,Y,4,0
2813,2813,22,48996,MORTGAGE,4.0,EDUCATION,A,10000,7.14,0.21,N,3,0
2814,2814,30,40000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,7.51,0.15,N,10,0
2815,2815,25,80000,MORTGAGE,0.0,VENTURE,B,15000,9.88,0.19,N,2,0
2816,2816,34,135000,MORTGAGE,14.0,MEDICAL,B,25000,10.99,0.19,N,10,0
2817,2817,23,65000,MORTGAGE,3.0,VENTURE,A,4000,7.49,0.06,N,2,0
2818,2818,22,50000,RENT,0.0,DEBTCONSOLIDATION,D,3000,15.99,0.06,Y,2,1
2819,2819,22,43200,RENT,1.0,DEBTCONSOLIDATION,C,5000,12.29,0.12,N,4,0
2820,2820,23,33000,RENT,7.0,EDUCATION,A,5000,7.9,0.15,N,3,0
2821,2821,25,123144,RENT,5.0,PERSONAL,B,12000,10.75,0.1,N,3,0
2822,2822,23,45000,RENT,4.0,MEDICAL,A,12000,7.9,0.26,N,3,0
2823,2823,29,65000,MORTGAGE,6.0,EDUCATION,A,12800,6.92,0.2,N,10,0
2824,2824,22,30000,RENT,2.0,MEDICAL,A,7200,7.51,0.23,N,2,0
2825,2825,29,45000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,19600,12.8,0.44,Y,8,1
2826,2826,42,72000,MORTGAGE,0.0,MEDICAL,B,7500,10.39,0.1,N,12,0
2827,2827,23,34000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,10.59,0.18,N,3,0
2828,2828,23,42000,RENT,4.0,EDUCATION,C,5000,13.22,0.12,N,2,0
2829,2829,27,45000,RENT,4.0,VENTURE,B,3500,11.49,0.08,N,5,0
2830,2830,29,85000,RENT,3.0,EDUCATION,B,10000,11.99,0.12,N,6,0
2831,2831,22,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,3600,10.99,0.09,N,4,0
2832,2832,31,75000,RENT,0.0,HOMEIMPROVEMENT,A,16000,6.54,0.21,N,9,0
2833,2833,23,72000,MORTGAGE,5.0,EDUCATION,B,20000,10.99,0.28,N,2,0
2834,2834,35,45000,RENT,11.0,EDUCATION,B,15000,10.65,0.33,N,10,1
2835,2835,30,60000,MORTGAGE,2.0,VENTURE,A,5000,7.9,0.08,N,7,0
2836,2836,24,36000,RENT,8.0,DEBTCONSOLIDATION,B,2200,12.42,0.06,N,4,0
2837,2837,26,45000,MORTGAGE,11.0,EDUCATION,B,9600,10.59,0.21,N,3,0
2838,2838,37,29004,RENT,2.0,MEDICAL,B,4000,11.83,0.14,N,16,0
2839,2839,37,20000,RENT,0.0,EDUCATION,B,7500,11.71,0.38,N,13,1
2840,2840,30,65993,RENT,4.0,HOMEIMPROVEMENT,D,9000,14.96,0.14,N,10,0
2841,2841,33,40000,MORTGAGE,3.0,MEDICAL,C,18000,11.78,0.45,N,9,1
2842,2842,29,90000,RENT,1.0,EDUCATION,C,15000,13.49,0.17,N,7,0
2843,2843,21,58000,OWN,5.0,EDUCATION,A,3000,9.63,0.05,N,2,0
2844,2844,29,50000,RENT,9.0,MEDICAL,B,6000,10.96,0.12,N,8,0
2845,2845,30,70000,RENT,4.0,HOMEIMPROVEMENT,C,5000,13.8,0.07,Y,7,0
2846,2846,23,80000,RENT,5.0,EDUCATION,A,25000,7.9,0.31,N,3,1
2847,2847,47,71000,MORTGAGE,1.0,MEDICAL,A,10000,8.94,0.14,N,15,0
2848,2848,37,80000,RENT,3.0,EDUCATION,D,15000,14.46,0.19,N,13,0
2849,2849,25,45000,RENT,2.0,MEDICAL,B,10000,10.38,0.22,N,4,0
2850,2850,37,45000,RENT,1.0,DEBTCONSOLIDATION,C,8000,13.85,0.18,N,12,0
2851,2851,25,50600,RENT,0.0,MEDICAL,C,12000,13.16,0.24,N,2,0
2852,2852,22,60000,RENT,3.0,VENTURE,A,5000,5.79,0.08,N,2,0
2853,2853,25,77000,RENT,6.0,MEDICAL,A,12000,7.29,0.16,N,2,0
2854,2854,23,25920,RENT,2.0,PERSONAL,E,10000,17.93,0.39,N,2,1
2855,2855,38,50000,RENT,3.0,EDUCATION,C,4000,12.61,0.08,Y,15,0
2856,2856,23,100000,MORTGAGE,7.0,PERSONAL,C,15000,12.73,0.15,N,3,0
2857,2857,32,70000,RENT,1.0,VENTURE,B,14400,11.11,0.21,N,6,0
2858,2858,29,30000,RENT,6.0,DEBTCONSOLIDATION,C,6600,13.49,0.22,N,8,0
2859,2859,23,25000,RENT,0.0,EDUCATION,A,3600,7.49,0.14,N,4,0
2860,2860,22,46800,RENT,1.0,DEBTCONSOLIDATION,A,2800,7.49,0.06,N,3,0
2861,2861,26,37600,MORTGAGE,10.0,MEDICAL,A,15000,6.99,0.4,N,3,0
2862,2862,28,52809,RENT,4.0,VENTURE,B,13000,10.99,0.25,N,6,0
2863,2863,22,54000,RENT,1.0,DEBTCONSOLIDATION,D,8000,15.58,0.15,N,3,1
2864,2864,24,29000,RENT,0.0,MEDICAL,D,10000,14.61,0.34,N,2,1
2865,2865,27,55000,RENT,3.0,MEDICAL,B,4500,10.74,0.08,N,6,0
2866,2866,22,52000,MORTGAGE,0.0,PERSONAL,A,3000,7.05,0.06,N,4,0
2867,2867,28,50000,RENT,1.0,HOMEIMPROVEMENT,C,10000,12.09,0.2,Y,8,0
2868,2868,24,64000,RENT,0.0,EDUCATION,B,2300,10.99,0.04,N,2,1
2869,2869,25,75000,MORTGAGE,9.0,EDUCATION,C,11000,13.49,0.15,N,2,0
2870,2870,22,26592,OWN,6.0,VENTURE,B,3000,11.12,0.12,N,4,0
2871,2871,29,100000,RENT,5.0,HOMEIMPROVEMENT,C,20000,13.23,0.2,Y,7,0
2872,2872,21,45000,RENT,3.0,EDUCATION,B,5400,12.42,0.12,N,2,0
2873,2873,41,44000,RENT,5.0,VENTURE,A,10000,6.62,0.23,N,14,0
2874,2874,25,40000,RENT,0.0,EDUCATION,A,5000,5.79,0.13,N,4,0
2875,2875,24,75000,MORTGAGE,5.0,VENTURE,A,12000,5.99,0.16,N,2,0
2876,2876,30,105000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,19000,11.99,0.18,N,7,0
2877,2877,32,77625,OWN,8.0,PERSONAL,B,22000,9.91,0.32,N,7,0
2878,2878,31,75000,MORTGAGE,1.0,PERSONAL,D,15000,14.74,0.2,Y,9,0
2879,2879,22,75744,MORTGAGE,6.0,EDUCATION,C,6800,12.99,0.1,Y,2,0
2880,2880,25,70872,RENT,9.0,DEBTCONSOLIDATION,B,15000,11.86,0.21,N,3,0
2881,2881,23,50000,RENT,7.0,MEDICAL,C,8000,14.27,0.16,Y,4,0
2882,2882,22,100000,MORTGAGE,0.0,MEDICAL,A,13000,7.88,0.13,N,4,0
2883,2883,26,24000,RENT,2.0,MEDICAL,C,3000,13.85,0.13,Y,4,0
2884,2884,29,52000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000,6.91,0.19,N,10,0
2885,2885,22,38004,RENT,6.0,EDUCATION,C,1500,12.73,0.04,Y,4,0
2886,2886,27,39000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,7000,6.91,0.18,N,5,0
2887,2887,35,66300,RENT,0.0,MEDICAL,D,7500,15.7,0.1,N,6,1
2888,2888,24,54000,OWN,7.0,MEDICAL,B,12750,11.12,0.24,N,4,0
2889,2889,25,72972,MORTGAGE,9.0,PERSONAL,C,15000,12.99,0.21,N,3,0
2890,2890,33,81000,MORTGAGE,4.0,DEBTCONSOLIDATION,D,18000,14.96,0.22,N,10,1
2891,2891,39,72000,RENT,5.0,MEDICAL,B,20000,10.37,0.28,N,15,0
2892,2892,29,58800,MORTGAGE,10.0,PERSONAL,D,19500,15.7,0.33,N,6,0
2893,2893,37,32400,RENT,21.0,VENTURE,A,2500,7.88,0.08,N,16,0
2894,2894,24,62000,RENT,2.0,PERSONAL,B,19200,10.74,0.29,N,4,0
2895,2895,25,30600,RENT,6.0,MEDICAL,A,14500,6.54,0.48,N,2,1
2896,2896,41,24000,RENT,0.0,PERSONAL,D,1500,16.0,0.06,N,17,1
2897,2897,22,32000,OTHER,3.0,PERSONAL,C,7500,14.27,0.23,Y,2,0
2898,2898,44,42000,RENT,4.0,MEDICAL,C,5000,13.99,0.12,N,12,0
2899,2899,23,60000,RENT,7.0,DEBTCONSOLIDATION,B,8400,10.71,0.14,N,2,0
2900,2900,32,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,8000,11.49,0.11,N,6,0
2901,2901,23,28800,RENT,6.0,EDUCATION,A,8000,7.49,0.28,N,4,0
2902,2902,36,150000,RENT,6.0,HOMEIMPROVEMENT,C,20000,13.48,0.13,N,11,0
2903,2903,40,60000,MORTGAGE,15.0,PERSONAL,C,12000,14.27,0.2,N,16,0
2904,2904,31,85000,MORTGAGE,5.0,PERSONAL,B,12000,11.99,0.14,N,5,0
2905,2905,29,109920,MORTGAGE,13.0,EDUCATION,D,20000,14.84,0.18,Y,8,0
2906,2906,25,37200,RENT,0.0,DEBTCONSOLIDATION,A,7000,7.9,0.19,N,3,0
2907,2907,21,42000,RENT,5.0,VENTURE,B,1200,11.12,0.03,N,3,0
2908,2908,25,102000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,12000,15.99,0.1,Y,3,0
2909,2909,30,62500,RENT,1.0,HOMEIMPROVEMENT,B,4000,10.38,0.06,N,10,0
2910,2910,28,100000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,2000,5.42,0.02,N,8,0
2911,2911,28,90000,MORTGAGE,9.0,VENTURE,C,25000,15.96,0.28,N,7,0
2912,2912,27,48000,RENT,11.0,EDUCATION,B,7000,12.42,0.15,N,7,0
2913,2913,22,60000,OWN,4.0,MEDICAL,A,5000,5.79,0.08,N,2,0
2914,2914,27,60000,RENT,1.0,DEBTCONSOLIDATION,A,3000,7.51,0.05,N,7,0
2915,2915,26,60000,MORTGAGE,10.0,PERSONAL,A,16500,7.88,0.28,N,4,0
2916,2916,22,40000,MORTGAGE,2.0,EDUCATION,A,14000,7.51,0.35,N,2,0
2917,2917,22,32000,RENT,2.0,PERSONAL,C,4500,15.96,0.14,N,3,1
2918,2918,36,100000,MORTGAGE,12.0,MEDICAL,A,9000,5.42,0.09,N,11,0
2919,2919,35,36000,RENT,3.0,EDUCATION,E,4000,18.79,0.11,Y,5,1
2920,2920,30,30000,RENT,2.0,VENTURE,D,12000,14.61,0.4,N,10,1
2921,2921,22,70000,RENT,3.0,PERSONAL,B,25000,11.86,0.36,N,2,1
2922,2922,27,107900,MORTGAGE,11.0,MEDICAL,A,8000,5.42,0.07,N,9,0
2923,2923,22,45000,RENT,1.0,EDUCATION,B,8000,12.69,0.18,N,3,0
2924,2924,25,44000,RENT,9.0,EDUCATION,B,18500,12.18,0.37,N,3,1
2925,2925,29,66000,RENT,1.0,VENTURE,D,12000,16.0,0.18,Y,10,1
2926,2926,30,42000,RENT,0.0,DEBTCONSOLIDATION,B,15000,9.63,0.36,N,8,1
2927,2927,25,30000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,7000,10.0,0.23,N,4,0
2928,2928,35,55000,MORTGAGE,13.0,DEBTCONSOLIDATION,B,3200,11.49,0.06,N,8,0
2929,2929,32,24000,RENT,2.0,MEDICAL,B,3500,9.99,0.15,N,7,0
2930,2930,23,30000,RENT,0.0,EDUCATION,A,4000,7.49,0.13,N,4,0
2931,2931,21,54000,MORTGAGE,5.0,MEDICAL,C,6500,12.87,0.12,Y,3,0
2932,2932,27,25000,RENT,4.0,VENTURE,B,8500,9.91,0.34,N,7,1
2933,2933,23,99000,RENT,2.0,PERSONAL,A,6000,7.68,0.06,N,4,0
2934,2934,30,90000,MORTGAGE,14.0,VENTURE,B,21000,12.42,0.23,N,6,0
2935,2935,26,40000,RENT,1.0,PERSONAL,A,10000,8.94,0.25,N,4,0
2936,2936,24,120000,MORTGAGE,8.0,PERSONAL,B,10000,12.69,0.08,N,3,0
2937,2937,21,50000,OWN,5.0,DEBTCONSOLIDATION,D,5000,15.31,0.1,Y,4,0
2938,2938,34,80000,MORTGAGE,2.0,VENTURE,A,5000,8.0,0.06,N,9,0
2939,2939,26,80000,MORTGAGE,10.0,PERSONAL,D,15000,16.07,0.19,Y,4,0
2940,2940,26,83300,RENT,2.0,MEDICAL,D,25000,15.65,0.26,N,2,1
2941,2941,22,48000,RENT,3.0,EDUCATION,B,8000,12.69,0.17,N,3,0
2942,2942,37,90000,MORTGAGE,5.0,VENTURE,B,20000,10.75,0.22,N,16,0
2943,2943,25,48000,RENT,0.0,MEDICAL,A,5000,8.94,0.1,N,2,0
2944,2944,24,30000,RENT,2.0,DEBTCONSOLIDATION,D,6000,14.61,0.2,N,3,1
2945,2945,34,120000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,7500,10.95,0.06,N,8,0
2946,2946,23,92500,RENT,2.0,EDUCATION,C,12000,13.49,0.13,Y,2,0
2947,2947,23,65000,MORTGAGE,1.0,PERSONAL,B,12000,11.14,0.18,N,4,0
2948,2948,22,31000,RENT,6.0,DEBTCONSOLIDATION,D,12000,14.11,0.38,N,3,1
2949,2949,23,30000,RENT,7.0,DEBTCONSOLIDATION,D,10000,13.24,0.33,Y,2,1
2950,2950,65,53000,RENT,2.0,EDUCATION,B,7500,9.45,0.14,N,8,0
2951,2951,24,50000,RENT,9.0,VENTURE,B,5000,9.62,0.1,N,4,0
2952,2952,27,31200,RENT,2.0,DEBTCONSOLIDATION,A,4100,6.76,0.13,N,8,0
2953,2953,31,122000,MORTGAGE,4.0,MEDICAL,C,25000,13.23,0.2,N,6,0
2954,2954,39,36000,RENT,3.0,PERSONAL,A,9600,7.29,0.27,N,12,0
2955,2955,27,80000,MORTGAGE,11.0,PERSONAL,B,18000,9.88,0.23,N,8,0
2956,2956,23,70000,MORTGAGE,4.0,EDUCATION,A,8000,7.49,0.11,N,2,0
2957,2957,31,90000,RENT,11.0,VENTURE,B,10000,10.99,0.11,N,6,0
2958,2958,29,67000,RENT,1.0,DEBTCONSOLIDATION,A,10000,9.32,0.15,N,6,0
2959,2959,23,88000,RENT,1.0,HOMEIMPROVEMENT,D,7000,14.91,0.08,N,2,1
2960,2960,24,50000,RENT,3.0,HOMEIMPROVEMENT,B,2000,10.99,0.04,N,2,0
2961,2961,29,45000,RENT,4.0,DEBTCONSOLIDATION,A,6000,6.17,0.13,N,5,0
2962,2962,22,36000,RENT,0.0,VENTURE,G,13750,21.21,0.36,Y,4,1
2963,2963,33,43200,MORTGAGE,13.0,EDUCATION,B,6650,10.36,0.15,N,8,0
2964,2964,25,24000,MORTGAGE,3.0,VENTURE,A,7000,9.32,0.29,N,4,0
2965,2965,42,69000,MORTGAGE,26.0,VENTURE,A,6000,7.14,0.09,N,11,0
2966,2966,36,125000,RENT,2.0,HOMEIMPROVEMENT,B,10000,8.88,0.08,N,14,0
2967,2967,32,140000,MORTGAGE,13.0,PERSONAL,B,5000,10.75,0.04,N,9,0
2968,2968,31,66500,MORTGAGE,1.0,PERSONAL,B,9200,10.99,0.14,N,10,0
2969,2969,26,57600,OWN,2.0,MEDICAL,A,4000,5.42,0.07,N,4,0
2970,2970,32,46900,RENT,2.0,MEDICAL,C,12000,14.27,0.25,Y,10,1
2971,2971,21,30000,RENT,3.0,PERSONAL,B,4000,10.99,0.13,N,3,0
2972,2972,37,60000,OWN,4.0,HOMEIMPROVEMENT,B,10000,11.14,0.17,N,17,0
2973,2973,24,40000,RENT,1.0,VENTURE,A,7000,8.94,0.17,N,4,0
2974,2974,27,60000,OTHER,0.0,PERSONAL,B,4800,9.63,0.08,N,8,0
2975,2975,27,100000,MORTGAGE,12.0,VENTURE,B,9600,11.99,0.1,N,6,0
2976,2976,24,70000,MORTGAGE,2.0,MEDICAL,A,14000,7.88,0.2,N,2,0
2977,2977,29,95000,RENT,8.0,DEBTCONSOLIDATION,B,6000,11.99,0.06,N,7,0
2978,2978,29,29000,RENT,6.0,MEDICAL,D,5000,15.33,0.17,Y,6,1
2979,2979,41,41004,RENT,4.0,MEDICAL,D,5000,15.28,0.12,N,11,0
2980,2980,28,37500,RENT,0.0,DEBTCONSOLIDATION,D,8400,16.89,0.23,Y,6,1
2981,2981,25,53000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,12000,15.65,0.23,Y,2,1
2982,2982,23,45600,MORTGAGE,7.0,MEDICAL,B,7000,10.36,0.15,N,2,0
2983,2983,23,36000,MORTGAGE,5.0,VENTURE,B,8000,12.42,0.22,N,2,0
2984,2984,23,88000,RENT,2.0,HOMEIMPROVEMENT,E,18000,17.93,0.22,Y,4,1
2985,2985,25,51996,RENT,3.0,MEDICAL,C,10000,11.66,0.19,Y,2,0
2986,2986,27,72000,RENT,11.0,PERSONAL,C,13000,13.11,0.17,Y,8,1
2987,2987,26,60000,RENT,11.0,EDUCATION,D,25000,14.46,0.42,N,3,1
2988,2988,25,60000,RENT,2.0,HOMEIMPROVEMENT,A,17000,6.91,0.28,N,2,0
2989,2989,24,62000,RENT,3.0,EDUCATION,C,10000,13.49,0.16,Y,4,0
2990,2990,28,124800,MORTGAGE,4.0,HOMEIMPROVEMENT,A,15000,6.62,0.12,N,6,0
2991,2991,24,42000,RENT,2.0,PERSONAL,A,2100,5.42,0.05,N,3,0
2992,2992,37,68400,RENT,5.0,HOMEIMPROVEMENT,B,4000,12.69,0.06,N,14,1
2993,2993,21,37200,RENT,5.0,EDUCATION,A,6000,5.99,0.16,N,4,0
2994,2994,24,120000,MORTGAGE,3.0,MEDICAL,B,12000,10.37,0.1,N,2,0
2995,2995,21,24000,OWN,0.0,HOMEIMPROVEMENT,C,6100,13.35,0.26,Y,2,1
2996,2996,23,125000,MORTGAGE,7.0,EDUCATION,A,8000,9.63,0.06,N,4,0
2997,2997,30,200000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,16000,6.17,0.08,N,7,0
2998,2998,25,64800,MORTGAGE,4.0,PERSONAL,B,4500,10.65,0.07,N,4,0
2999,2999,35,102000,MORTGAGE,8.0,PERSONAL,B,15000,11.48,0.15,N,8,0
3000,3000,37,60000,MORTGAGE,9.0,PERSONAL,A,12500,7.9,0.21,N,17,0
3001,3001,33,48000,RENT,1.0,DEBTCONSOLIDATION,C,1500,12.98,0.03,N,6,0
3002,3002,27,110000,RENT,1.0,EDUCATION,C,10000,12.87,0.09,Y,10,0
3003,3003,30,32004,RENT,4.0,PERSONAL,A,2500,5.42,0.08,N,7,0
3004,3004,22,80400,RENT,6.0,MEDICAL,A,6000,5.42,0.07,N,4,0
3005,3005,26,113000,RENT,0.0,EDUCATION,E,12000,16.0,0.11,Y,4,1
3006,3006,23,62500,RENT,0.0,EDUCATION,C,16000,13.11,0.26,Y,3,0
3007,3007,22,43000,RENT,3.0,EDUCATION,A,7000,9.32,0.16,N,3,0
3008,3008,25,90000,MORTGAGE,3.0,PERSONAL,C,8000,12.61,0.09,Y,2,0
3009,3009,36,36000,RENT,5.0,MEDICAL,A,3250,5.42,0.09,N,14,0
3010,3010,24,120000,MORTGAGE,8.0,EDUCATION,B,15000,11.14,0.13,N,3,0
3011,3011,23,46800,MORTGAGE,7.0,EDUCATION,A,6000,8.94,0.13,N,2,0
3012,3012,27,70000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,17000,12.53,0.24,N,6,0
3013,3013,28,60000,RENT,2.0,EDUCATION,C,6000,13.49,0.1,Y,7,0
3014,3014,29,30000,RENT,4.0,MEDICAL,B,5000,11.99,0.17,N,5,0
3015,3015,28,65000,RENT,7.0,EDUCATION,B,8000,10.62,0.12,N,5,0
3016,3016,26,90000,MORTGAGE,1.0,EDUCATION,B,20000,11.48,0.22,N,2,0
3017,3017,31,180000,MORTGAGE,9.0,EDUCATION,A,12250,6.03,0.07,N,9,0
3018,3018,23,60000,RENT,7.0,VENTURE,C,15000,13.49,0.25,N,2,0
3019,3019,26,122000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,6000,7.14,0.05,N,2,0
3020,3020,24,143000,RENT,0.0,PERSONAL,D,24250,16.0,0.17,Y,3,1
3021,3021,34,93500,MORTGAGE,11.0,PERSONAL,A,18000,6.99,0.2,N,10,0
3022,3022,22,30000,MORTGAGE,0.0,EDUCATION,B,4500,11.36,0.15,N,2,0
3023,3023,21,50000,MORTGAGE,5.0,PERSONAL,A,7800,7.51,0.16,N,4,0
3024,3024,23,34000,MORTGAGE,6.0,PERSONAL,A,6000,7.9,0.18,N,4,0
3025,3025,23,25000,RENT,2.0,VENTURE,B,1350,9.99,0.06,N,4,0
3026,3026,24,81000,MORTGAGE,5.0,PERSONAL,A,12000,7.49,0.15,N,3,0
3027,3027,46,60000,RENT,14.0,MEDICAL,A,20000,7.29,0.33,N,11,1
3028,3028,27,79000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,9000,8.59,0.11,N,8,0
3029,3029,22,25440,MORTGAGE,6.0,EDUCATION,C,1200,12.98,0.05,N,2,0
3030,3030,34,33996,RENT,2.0,MEDICAL,B,11400,11.11,0.33,N,10,1
3031,3031,27,143000,MORTGAGE,11.0,VENTURE,B,6000,10.65,0.04,N,9,0
3032,3032,27,190000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,28000,12.99,0.15,Y,8,0
3033,3033,31,36000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,6000,5.42,0.17,N,7,0
3034,3034,29,100000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,6500,10.08,0.07,N,8,0
3035,3035,33,92000,RENT,6.0,MEDICAL,B,16000,11.58,0.18,N,8,0
3036,3036,21,52000,RENT,2.0,PERSONAL,F,18500,15.33,0.36,N,4,1
3037,3037,28,84000,MORTGAGE,12.0,VENTURE,B,12000,9.91,0.14,N,7,0
3038,3038,25,50000,MORTGAGE,9.0,MEDICAL,B,6000,10.36,0.12,N,4,0
3039,3039,33,100000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,6000,7.43,0.06,N,5,0
3040,3040,27,38000,RENT,0.0,EDUCATION,A,7500,5.42,0.2,N,6,0
3041,3041,23,60000,RENT,6.0,EDUCATION,C,14000,13.99,0.24,Y,3,0
3042,3042,24,70000,RENT,3.0,EDUCATION,A,20000,8.49,0.29,N,4,0
3043,3043,26,70000,RENT,5.0,VENTURE,B,10000,10.99,0.14,N,4,0
3044,3044,25,141000,RENT,0.0,HOMEIMPROVEMENT,A,15000,6.99,0.11,N,4,0
3045,3045,31,50000,RENT,4.0,DEBTCONSOLIDATION,C,8000,15.96,0.16,N,5,0
3046,3046,24,50000,RENT,0.0,VENTURE,C,4800,13.35,0.1,Y,4,0
3047,3047,30,37090,RENT,12.0,VENTURE,B,2400,10.0,0.08,N,7,0
3048,3048,27,31500,RENT,11.0,EDUCATION,C,3000,13.92,0.09,Y,6,0
3049,3049,26,40000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6000,9.32,0.15,N,3,0
3050,3050,24,95000,MORTGAGE,6.0,EDUCATION,A,18000,7.9,0.19,N,4,0
3051,3051,26,82710,RENT,4.0,HOMEIMPROVEMENT,B,7200,9.99,0.09,N,2,0
3052,3052,39,60000,MORTGAGE,13.0,PERSONAL,A,8000,8.49,0.13,N,11,0
3053,3053,23,56000,RENT,2.0,DEBTCONSOLIDATION,A,4500,5.79,0.08,N,4,0
